Номер удаленного элемента      Удаленное число                Время работы в наносекундах    Количество итераций
706                            3727                           200                            12                            
707                            2015                           1500                           23                            
708                            5727                           700                            12                            
709                            5444                           500                            12                            
710                            5075                           1400                           23                            
711                            3969                           300                            12                            
712                            7391                           800                            12                            
713                            8517                           300                            12                            
714                            661                            300                            12                            
715                            1711                           300                            12                            
716                            2020                           1000                           23                            
717                            6874                           200                            12                            
718                            62                             300                            12                            
719                            5716                           200                            12                            
720                            4617                           300                            12                            
721                            7983                           400                            12                            
722                            3149                           1300                           23                            
723                            7922                           2400                           23                            
724                            1762                           1900                           23                            
725                            3422                           400                            12                            
726                            7774                           1600                           23                            
727                            6452                           300                            12                            
728                            6229                           2500                           23                            
729                            7510                           300                            12                            
730                            6504                           700                            12                            
731                            4208                           1400                           23                            
732                            4597                           1400                           23                            
733                            7758                           200                            12                            
734                            4796                           2200                           23                            
735                            1427                           600                            12                            
736                            5211                           200                            12                            
737                            2253                           300                            12                            
738                            2215                           1000                           23                            
739                            9161                           3400                           23                            
740                            7395                           200                            12                            
741                            6950                           800                            12                            
742                            5752                           900                            23                            
743                            4372                           900                            23                            
744                            3986                           800                            23                            
745                            6947                           1200                           23                            
746                            7778                           300                            12                            
747                            404                            300                            12                            
748                            3153                           300                            12                            
749                            2393                           1000                           23                            
750                            7620                           300                            12                            
751                            9071                           300                            12                            
752                            4162                           300                            12                            
753                            6605                           1000                           23                            
754                            1377                           300                            12                            
755                            3118                           1300                           23                            
756                            5042                           1200                           23                            
757                            8264                           1500                           23                            
758                            2310                           300                            12                            
759                            2742                           1500                           23                            
760                            4439                           600                            12                            
761                            1206                           700                            12                            
762                            512                            400                            12                            
763                            6992                           1300                           23                            
764                            1969                           200                            12                            
765                            2151                           500                            12                            
766                            1145                           400                            12                            
767                            1783                           500                            12                            
768                            6684                           1900                           23                            
769                            9147                           1400                           23                            
770                            7381                           200                            12                            
771                            7720                           500                            12                            
772                            4156                           300                            12                            
773                            8400                           600                            12                            
774                            8330                           400                            12                            
775                            9182                           1500                           23                            
776                            4775                           700                            12                            
777                            8095                           1200                           23                            
778                            9212                           1200                           23                            
779                            8367                           200                            12                            
780                            6473                           300                            12                            
781                            7153                           300                            12                            
782                            3139                           2100                           23                            
783                            7867                           2100                           23                            
784                            7052                           400                            12                            
785                            6355                           400                            12                            
786                            1551                           300                            12                            
787                            3627                           2000                           23                            
788                            4807                           600                            12                            
789                            2084                           1500                           23                            
790                            1567                           1200                           23                            
791                            4514                           1600                           23                            
792                            7039                           1400                           23                            
793                            6003                           1300                           23                            
794                            5079                           300                            12                            
795                            8953                           700                            12                            
796                            8808                           2300                           23                            
797                            9186                           200                            12                            
798                            3208                           200                            12                            
799                            2465                           1600                           12                            
800                            3970                           1900                           12                            
801                            236                            1700                           12                            
802                            3002                           1200                           12                            
803                            5276                           1100                           12                            
804                            6214                           800                            12                            
805                            8797                           8700                           23                            
806                            480                            700                            12                            
807                            6216                           3600                           23                            
808                            1634                           1100                           12                            
809                            1588                           700                            12                            
810                            4611                           1200                           12                            
811                            4050                           600                            12                            
812                            2013                           800                            12                            
813                            6128                           800                            12                            
814                            7971                           700                            12                            
815                            5371                           5100                           23                            
816                            8650                           3700                           23                            
817                            8178                           600                            12                            
818                            680                            700                            12                            
819                            6676                           3100                           23                            
820                            25                             600                            12                            
821                            7159                           1200                           12                            
822                            7962                           3500                           23                            
823                            7916                           500                            12                            
824                            1208                           2800                           23                            
825                            1582                           600                            12                            
826                            2368                           4700                           23                            
827                            3191                           900                            12                            
828                            8714                           700                            12                            
829                            4782                           1200                           12                            
830                            4696                           3100                           23                            
831                            1896                           2400                           23                            
832                            4411                           600                            12                            
833                            7411                           600                            12                            
834                            7870                           500                            12                            
835                            568                            700                            12                            
836                            8099                           500                            12                            
837                            7490                           700                            12                            
838                            5230                           700                            12                            
839                            2593                           5500                           23                            
840                            661                            600                            12                            
841                            4406                           3200                           23                            
842                            914                            800                            12                            
843                            58                             700                            12                            
844                            522                            600                            12                            
845                            7700                           800                            12                            
846                            4592                           600                            12                            
847                            4777                           2300                           23                            
848                            277                            1100                           12                            
849                            2494                           3100                           23                            
850                            4383                           2900                           23                            
851                            1417                           800                            12                            
852                            4126                           1000                           12                            
853                            158                            1000                           12                            
854                            8985                           6400                           23                            
855                            1562                           800                            12                            
856                            5893                           1000                           12                            
857                            6751                           1000                           12                            
858                            4208                           1000                           12                            
859                            3888                           1100                           12                            
860                            6561                           1500                           12                            
861                            7031                           5100                           23                            
862                            4876                           700                            12                            
863                            4100                           500                            12                            
864                            8374                           600                            12                            
865                            8768                           1000                           12                            
866                            686                            900                            12                            
867                            3701                           900                            12                            
868                            8215                           500                            12                            
869                            4951                           500                            12                            
870                            3890                           3600                           23                            
871                            8219                           300                            12                            
872                            7243                           2900                           23                            
873                            2153                           2600                           23                            
874                            6813                           1200                           12                            
875                            8416                           400                            12                            
876                            2746                           3400                           23                            
877                            8122                           700                            12                            
878                            2854                           800                            12                            
879                            2729                           400                            12                            
880                            5358                           600                            12                            
881                            2951                           400                            12                            
882                            8226                           400                            12                            
883                            8470                           400                            12                            
884                            1313                           400                            12                            
885                            6019                           500                            12                            
886                            2537                           400                            12                            
887                            6339                           400                            12                            
888                            3063                           2000                           23                            
889                            3528                           2200                           23                            
890                            1765                           2200                           23                            
891                            3880                           500                            12                            
892                            8068                           500                            12                            
893                            5097                           3300                           23                            
894                            2227                           2200                           23                            
895                            4170                           2100                           23                            
896                            984                            600                            12                            
897                            610                            700                            12                            
898                            3547                           1300                           23                            
899                            3603                           500                            12                            
900                            2954                           400                            12                            
901                            5829                           1100                           12                            
902                            8440                           600                            12                            
903                            3687                           2300                           23                            
904                            4615                           1900                           23                            
905                            2977                           600                            12                            
906                            2319                           1900                           23                            
907                            8830                           600                            12                            
908                            7988                           800                            12                            
909                            4450                           1800                           23                            
910                            7133                           2200                           23                            
911                            3432                           1200                           12                            
912                            7997                           400                            12                            
913                            9032                           2000                           23                            
914                            8975                           300                            12                            
915                            2785                           600                            12                            
916                            5992                           500                            12                            
917                            1385                           400                            12                            
918                            5839                           1000                           12                            
919                            7659                           600                            12                            
920                            8879                           800                            12                            
921                            1281                           2800                           23                            
922                            237                            800                            12                            
923                            8020                           400                            12                            
924                            2062                           500                            12                            
925                            786                            1300                           12                            
926                            8642                           500                            12                            
927                            3540                           600                            12                            
928                            749                            800                            12                            
929                            6704                           800                            12                            
930                            2677                           600                            12                            
931                            1920                           800                            12                            
932                            1329                           1800                           23                            
933                            6060                           900                            12                            
934                            7738                           2800                           23                            
935                            1784                           1100                           12                            
936                            7655                           500                            12                            
937                            1996                           400                            12                            
938                            1863                           600                            12                            
939                            1435                           700                            12                            
940                            6643                           3700                           23                            
941                            414                            5000                           23                            
942                            4543                           500                            12                            
943                            7567                           3400                           23                            
944                            3067                           500                            12                            
945                            7945                           500                            12                            
946                            8836                           600                            12                            
947                            3371                           2700                           23                            
948                            5528                           1200                           12                            
949                            3357                           400                            12                            
950                            3060                           4100                           23                            
951                            9043                           500                            12                            
952                            857                            900                            12                            
953                            2259                           1300                           12                            
954                            811                            500                            12                            
955                            4777                           500                            12                            
956                            8696                           300                            12                            
957                            6286                           1500                           23                            
958                            2288                           700                            12                            
959                            53                             1600                           12                            
960                            915                            3700                           23                            
961                            8244                           500                            12                            
